"ID","DATE","YEAR","INDICATOR","MEASURE1","MEASURE2","MEASURE1_DESCRIPTION","MEASURE2_DESCRIPTION","VALUE1","UNITS","NOTE","SOURCE"
"1_2019_03_24","2019 Mar 24 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,792,103","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_03_31","2019 Mar 31 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,983,478","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_04_07","2019 Apr 07 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,904,449","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_04_14","2019 Apr 14 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,014,592","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_04_21","2019 Apr 21 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,925,334","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_04_28","2019 Apr 28 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,986,513","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_05_05","2019 May 05 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,824,835","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_05_12","2019 May 12 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,886,913","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_05_19","2019 May 19 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,934,664","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_05_26","2019 May 26 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,032,392","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_06_02","2019 Jun 02 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"2,046,936","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_06_09","2019 Jun 09 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,974,014","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
"1_2019_06_16","2019 Jun 16 12:00:00 AM","2,019","Capacity of Containerships Calling at U.S. Ports (in TEUs)",,,,,"1,921,300","TEUs","This series is now based on CBP's Vessel Management System (VMS) data (previously based on AIS data from IHS). The VMS series counts only vessels entering port for an official reason, typically to load or unload cargo which makes the number lower since the previous AIS series counted any vessel entering a port. The current week is an estimate; data is subject to change as remaining data is received over subsequent weeks.","MARAD Office of Policy and Plans analysis of CBP VMS data"
